"act","section_number","section_title","text","keywords","document_types_applicable","document_types_applicable__-"
"","","","","committee of creditors","committee of creditors minutes",""
"","","","","financial creditors","insolvency petition",""
"","","","","resolution applicant","offer letter",""
"","","","","eligibility","",""
"","","","","section 29A","",""
"","","","","corporate insolvency resolution process","",""
"","","","","Adjudicating Authority","",""
"","","","","voting share","",""
"","","","","feasibility","",""
"","","","","viability","",""
"","","","","distribution","",""
"","","","","priority","",""
"","","","","security interest","",""
"","","","","Insolvency and Bankruptcy Code (Amendment) Ordinance 2017","",""
"","","","","Insolvency and Bankruptcy Code (Amendment) Ordinance 2018","",""
"The Insolvency And Bankruptcy Code, 2016","31","Approval of resolution plan.","Approval of resolution plan. —(1) If the Adjudicating Authority is satisfied that the resolution plan as approved by the committee of creditors under sub -section ( 4) of section 30 meets the requirements as referred to in sub -section ( 2) of section 30, it shall by order approve the resolut ion plan which shall be binding on the corporate debtor and its employees, members, creditors, [including the Central Government, any State Government or any local authority to whom a debt in respect of the payment of dues arising under any law for the ti me being in force, such as authorities to whom statutory dues are owed, ] guarantors and other stakeholders involved in the resolution plan. [Provided that the Adjudicating Authority shall, before passing an order for approval of resolution plan under this sub-section, satisfy that the resolution plan has provisions for its effective implementation.] (2) Where the Adjudicating Authority is satisfied that the resolution plan does not confirm to the requirements referred to in sub -section ( 1), it may, by an order, reject the resolution plan. (3) After the order of approval under sub -section ( 1),— (a) the moratorium order passed by the Adjudicating Authority under section 14 shall cease to have effect; and (b) the resolution professional shall forward all reco rds relating to the conduct of the corporate insolvency resolution process and the resolution plan to the Board to be recorded on its database. [(4) The resolution applicant shall, pursuant to the resolution plan approved under sub -section ( 1), obtain the necessary approval required under any law for the time being in force within a period of one year from the date of approval of the resolution plan by the Adjudicating Authority under sub -section ( 1) or within such period as provided for in such law, which ever is later: Provided that where the resolution plan contains a provision for combination, as referred to in section 5 of the Competition Act, 2002 (12 of 2003) , the resolution applicant shall obtain the approval of the Competition Commission of India un der that Act prior to the approval of such resolution plan by the committee of creditors.]","Adjudicating Authority","resolution plan",""
"","","","","resolution plan","Adjudicating Authority order",""
"","","","","approval","insolvency petition",""
"","","","","corporate debtor","company policy",""
"","","","","employees","employment agreement",""
"","","","","members","financial statements",""
"","","","","creditors","",""
"","","","","Central Government","",""
"","","","","State Government","",""
"","","","","local authority","",""
"","","","","statutory dues","",""
"","","","","guarantors","",""
"","","","","stakeholders","",""
"","","","","implementation","",""
"","","","","rejection","",""
"","","","","moratorium","",""
"","","","","section 14","",""
"","","","","corporate insolvency resolution process","",""
"","","","","Board","",""
"","","","","Competition Act 2002","",""
"","","","","combination","",""
"","","","","Competition Commission of India","",""
"The Insolvency And Bankruptcy Code, 2016","32","Appeal.","Appeal .—Any appeal from an order approving the resolution plan shall be in the manner and on the grounds laid down in sub -section ( 3) of section 61.","appeal","appeal petition",""
"","","","","resolution plan","Adjudicating Authority order",""
"","","","","Adjudicating Authority order","",""
"","","","","section 61","",""
"The Insolvency And Bankruptcy Code, 2016","32A","Liability for prior offences, etc.","Liabi lity for prior offences, etc. —(1) Not withstanding anything to the contrary contained in this Code or any other law for the time being in force, the liability of a corporate debtor for an offence committed prior to the commencement of the corporate insolven cy resolution process shall cease, and the corporate debtor shall not be prosecuted for such an offence from the date the resolution plan has been approved by the Adjudicating Authority under section 31, if the resolution plan results in the change in the management or control of the corporate debtor to a person who was not — (a) a promoter or in the management or control of the corporate debtor or a related party of such a person; or (b) a person with regard to whom the relevant investigating authority has, on the basis of material in its possession, reason to believe that he had abetted or conspired for the commission of the offence, and has submitted or filed a report or a complaint to the relevant statutory authority or Court: Provided that if a prosecuti on had been instituted during the corporate insolvency resolution process against such corporate debtor, it shall stand discharged from the date of approval of the resolution plan subject to requirements of this sub -section having been fulfilled: Provided further that every person who was a “designated partner ” as defined in clause ( j) of section 2 of the Limited Liability Partnership Act, 2008 (6 of 2009) , or an “officer who is in default ”, as defined in clause ( 60) of section 2 of the Companies Act, 2013 (18 of 2013) , or was in any manner incharge of, or responsible to the corporate debtor for the conduct of its business or associated with the corporate debtor in any manner and who was directly or indirectly involved in the commission of such offence as pe r the report submitted or complaint filed by the investigating authority, shall continue to be liable to be prosecuted and punished for such an offence committed by the corporate debtor notwithstanding that the corporate debtor's liability has ceased under this sub -section. (2) No action shall be taken against the property of the corporate debtor in relation to an offence committed prior to the commencement of the corporate insolvency resolution process of the corporate debtor, where such property is covere d under a resolution plan approved by the Adjudicating Authority under section 31, which results in the change in control of the corporate debtor to a person, or sale of liquidation assets under the provisions of Chapter III of Part II of this Code to a pe rson, who was not — (i) a promoter or in the management or control of the corporate debtor or a rel ated party of such a person; or (ii) a person with regard to whom the relevant investigating authority has, on the basis of material in its possession reason to believe that he had abetted or conspired for the commission of the offence, and has submitted or filed a report or a complaint to the relevant statutory authority or Court. Explanation .—For the purposes of this sub -section , it is hereby clarified that, — (i) an action against the property of the corporate debtor in relation to an offence shall include the attachment, seizure, retention or confiscation of such property under such law as may be applicable to the corporate debtor; (ii) nothing in this sub -section shall be construed to bar an action against the property of any person, other than the corporate debtor or a person who has acquired such property through corporate insolvency resolution process or liquidation process under this Code and fulfils the requirements specified in this section, against whom such an action may be taken under","corporate debtor","resolution plan",""
"","","","","offence","legal notice",""
"","","","","corporate insolvency resolution process","court order",""
"","","","","resolution plan","investigation report",""
"","","","","Adjudicating Authority","charge sheet",""
"","","","","prosecution","compliance policy",""
"","","","","liability","company policy",""
"","","","","management","due diligence report",""
"","","","","control","",""
"","","","","promoter","",""
"","","","","related party","",""
"","","","","investigating authority","",""
"","","","","designated partner","",""
"","","","","officer in default","",""
"","","","","Limited Liability Partnership Act 2008","",""
"","","","","Companies Act 2013","",""
"","","","","liquidation assets","",""
"","","","","attachment","",""
"","","","","seizure","",""
"","","","","confiscation","",""
"The Insolvency And Bankruptcy Code, 2016","33","Initiation of liquidation","33. Initiation of liquidation .—(1) Where the Adjudicating Authority, — 
(a) before the expiry of the insolvency resolution process period or the maximum period 
permitted fo r completion of the corporate insolvency resolution process under section 12 or the fast 
track corporate insolvency resolution process under section 56, as the case may be, does not receive a 
resolution plan under sub -section ( 6) of section 30; or  
(b) reje cts the resolution plan under section 31 for the non -compliance of the requirements 
specified therein,  
it shall — 
(i) pass an order requiring the corporate debtor to be liquidated in the manner as laid down in this 
Chapter;  
(ii) issue a public announcement stating that the corporate debtor is in liquidation; and  
(iii) require such order to be sent to the authority with which the corporate debtor is registered.  
(2) Where the resolution professional, at any time during the corporate insolvency resolution proce ss 
but before confirmation of resolution plan, intimates the Adjudicating Authority of the decision of the 
committee of creditors 1[approved by not less than sixty -six per cent. of the voting share] to liquidate the 
corporate debtor, the Adjudicating Autho rity shall pass a liquidation order as referred to in sub -clauses ( i), 
(ii) and ( iii) of clause ( b) of sub -section ( 1). 
2[Explanation .—For the purposes of this sub -section, it is hereby declared that the committee of 
creditors may take the decision to liqu idate the corporate debtor, any time after its constitution under  
sub-section ( 1) of section 21 and before the confirmation of the resolution plan, including at any time 
before the preparation of the information memorandum.]  
(3) Where the resolution plan approved by the Adjudicating Authority is contravened by the 
concerned corporate debtor, any person other than the corporate debtor, whose interests are prejudicially 
affected by such contravention, may make an application to the Adjudicating Authority for  a liquidation 
order as referred to in sub -clauses ( i), (ii) and ( iii) of clause ( b) of sub -section ( 1). 
(4) On receipt of an application under sub -section ( 3), if the Adjudicating Authority determines that 
the corporate debtor has contravened the provisio ns of the resolution plan, it shall pass a liquidation order 
as referred to in sub -clauses ( i), (ii) and ( iii) of clause ( b) of sub -section ( 1). 
(5) Subject to section 52, when a liquidation order has been passed, no suit or other legal proceeding 
shall be  instituted by or against the corporate debtor:  
Provided that a suit or other legal proceeding may be instituted by the liquidator, on behalf of the 
corporate debtor, with the prior approval of the Adjudicating Authority.  
(6) The provisions of sub -section (5) shall not apply to legal proceedings in relation to such 
transactions as may be notified by the Central Government in consultation with any financial sector 
regulator.  
(7) The order  for liquidation under this section shall be deemed to be a notice of d ischarge to the 
officers, employees and workmen of the corporate debtor, except when the business of the corporate 
debtor is continued during the liquidation process by the liquidator.","liquidation","resolution plan",""
"","","","","Adjudicating Authority","liquidation order",""
"","","","","insolvency resolution process","public announcement",""
"","","","","resolution plan","committee of creditors minutes",""
"","","","","corporate debtor","insolvency resolution process documents",""
"","","","","committee of creditors","",""
"","","","","public announcement","",""
"","","","","liquidation order","",""
"","","","","suit","",""
"","","","","legal proceeding","",""
"","","","","liquidator","",""
"","","","","discharge","",""
"","","","","employees","",""
"","","","","workmen","",""
"The Insolvency And Bankruptcy Code, 2016","34","Appointment of liquidator and fee to be paid","34. Appointment of liquidator and f ee to be paid .—(1) Where the Adjudic ating Authority passes 
an order for liquidation of the corporate debtor under section 33, the resolution professional appointed for 
the corporate insolvency resolution process under 1[Chapter II shall, subject to submission of a written 
consent by the reso lution professional to the Adjudicatory Authority in specified form,]  act as the 
liquidator for the purposes of liquidation unless replaced by the Adjudicating Authority under sub -section 
(4). 
(2) On the appointment of a liquidator under this section, all powers of the board of directors, key 
managerial personnel and the partners of the corporate debtor, as the case may be, shall cease to have 
effect and shall be vested in the liquidator.  
(3) The personnel of the corporate debtor shall extend all assistance  and cooperation to the liquidator 
as may be required by him in managing the affairs of the corporate debtor and provisions of section 19 
shall apply in relation to voluntary liquidation process as they apply in relation to liquidation process with 
the sub stitution of references to the liquidator for references to the interim resolution professional.  
(4) The Adjudicating Authority shall by order replace the resolution professional, if — 
(a) the resolution plan submitted by the resolution professional under s ection 30 was rejected for 
failure to meet the requirements mentioned in sub -section ( 2) of section 30; or  
(b) the Board recommends the replacement of a resolution professional to the Adjudicating 
Authority for reasons to be recorded 2[in writing ; or] 
3[(c) the resolution professional fails to submit written consent under sub -section ( 1).] 
(5) For the purposes of 4[clause s (a) and ( c)] of sub -section ( 4), the Adjudicating Authority may direct 
the Board to propose the name of another insolvency professional to be appointed as a liquidator.  
(6) The Board shall propose the name of another insolvency professional 2[along with written consent 
from the insolvency professional in the specified form,] within ten days of the direction issued by the 
Adjudicating Autho rity under sub -section ( 5). 
(7) The Adjudicating Authority shall, on receipt of the proposal of the Board for the appointment of 
an insolvency professional as liquidator, by an order appoint such insolvency professional as the 
liquidator.  
(8) An insolvency  professional proposed to be appointed as a liquidator shall charge such fee for the 
conduct of the liquidation proceedings and in such proportion to the value of the liquidation estate assets, 
as may be specified by the Board.  
(9) The fees for the conduct  of the liquidation proceedings under sub -section ( 8) shall be paid to the 
liquidator from the proceeds of the liquidation estate under","liquidator","consent form",""
"","","","","appointment","liquidation order",""
"","","","","fee","order of appointment",""
"","","","","corporate debtor","resolution plan",""
"","","","","resolution professional","board resolution",""
"","","","","Adjudicating Authority","liquidation fee structure",""
"","","","","board of directors","",""
"","","","","key managerial personnel","",""
"","","","","partners","",""
"","","","","committee of creditors","",""
"","","","","insolvency professional","",""
"","","","","written consent","",""
"","","","","liquidation proceedings","",""
"","","","","liquidation estate assets","",""
"The Insolvency And Bankruptcy Code, 2016","35","Powers and duties of liquidator","35. Powers and duties of liquidator .—(1) Subject to the directions of the Adjudicating Authority, 
the liquid ator shall have the following powers and duties, namely: — 
(a) to verify claims of all the creditors;  
(b) to take  into his custody or control all the assets, property, effects and actionable claims of the 
corporate debtor;  
(c) to evaluate the assets and pro perty of the corporate debtor in the manner as may be specified 
by the Board and prepare a report;  
(d) to take such measures to protect and preserve the assets and properties of the corporate debtor 
as he considers necessary;  
(e) to carry on the business o f the corporate debtor for its beneficial liquidation as he considers 
necessary;  
(f) subject to section 52, to sell the immovable and movable property and actionable claims of the 
corporate debtor in liquidation by public auction or private contract, with power to transfer such 
property to any person or body corporate, or to sell the same in parcels in such manner as may be 
specified;  
1[Provided that the liquidator shall not sell the immovable and movable property or actionable 
claims of the corporate debto r in liquidation to any person who is not eligible to be a resolution 
applicant.].  
(g) to draw, accept, make and endorse any negotiable instruments including bill of exchange, 
hundi or promissory note in the name and on behalf of the corporate debtor, with  the same effect with 
respect to the liability as if such instruments were drawn, accepted, made or endorsed by or on behalf 
of the corporate debtor in the ordinary course of its business;  
(h) to take out, in his official name, letter of administration to any deceased contributory and to 
do in his official name any other act necessary for obtaining payment of any money due and payable 
from a contributory or his estate which cannot be ordinarily done in the name of the corporate debtor, 
and in all such cases , the money due and payable shall, for the purpose of enabling the liquidator to 
take out the letter of administration or recover the money, be deemed to be due to the liquidator 
himself;  
(i) to obtain any professional assistance from any person or appoint  any professional, in discharge 
of his duties, obligations and responsibilities;  
(j) to invite and settle claims of creditors and claimants and distribute proceeds in accordance 
with the provisions of this Code;  
(k) to institute or defend any suit, prosecu tion or other legal proceedings, civil or criminal, in the 
name of on  behalf of the corporate debtor ; 
 (l) to investigate the financial affairs of the corporate debtor to determine undervalued or 
preferential transactions;  
(m) to take all such actions, ste ps, or to sign, execute and verify any paper, deed, receipt 
document, application, petition, affidavit, bond or instrument and for such purpose to use the common 
seal, if any, as may be necessary for liquidation, distribution of assets and in discharge of his duties 
and obligations and functions as liquidator;  
(n) to apply to the Adjudicating Authority for such orders or directions as may be necessary for 
the liquidation of the corporate debtor and to report the progress of the liquidation process in a 
mann er as may be specified by the Board; and  
(o) to perform such other functions as may be specified by the Board.  
(2) The  liquidator shall have the power to consult any of the stakeholders entitled to a distribution of 
proceeds under","liquidator","claims form",""
"","","","","powers","asset valuation report",""
"","","","","duties","sale deed",""
"","","","","Adjudicating Authority","sale agreement",""
"","","","","verify claims","negotiable instruments",""
"","","","","assets","legal notices",""
"","","","","property","court filings",""
"","","","","evaluate assets","professional engagement letters",""
"","","","","protect assets","progress reports (liquidation)",""
"","","","","preserve assets","liquidation plan",""
"","","","","carry on business","",""
"","","","","sell property","",""
"","","","","public auction","",""
"","","","","private contract","",""
"","","","","negotiable instruments","",""
"","","","","professional assistance","",""
"","","","","invite claims","",""
"","","","","settle claims","",""
"","","","","distribute proceeds","",""
"","","","","suit","",""
"","","","","legal proceedings","",""
"","","","","financial affairs","",""
"","","","","undervalued transactions","",""
"","","","","preferential transactions","",""
"","","","","sign documents","",""
"","","","","common seal","",""
"","","","","report progress","",""
"","","","","stakeholders","",""
"The Insolvency And Bankruptcy Code, 2016","53","Consultation in Liquidation","Provided that any such consultation shall not be binding on the liquidator: Provided further that the records of any such consultation shall be made available to all other stakeholders not so consulted, in a manner specified by the Board.","consultation","liquidation process documents",""
"","","","","liquidator","board resolutions",""
"","","","","stakeholders","minutes of meetings",""
"","","","","Board","stakeholder communications",""
"","","","","records","",""
"","","","","liquidation process","",""
"The Insolvency And Bankruptcy Code, 2016","36","Liquidation estate","36. Liquidation estate .—(1) For the purposes of liquidation, the liquidator shall form an estate of the assets mentioned in sub -section ( 3), which will be called the liquidation estate in relation to the corporate debtor. (2) The liquidator shall hold the liquidation estate as a fiduci ary for the benefit of all the creditors. (3) Subject to sub -section ( 4), the liquidation estate shall comprise all liquidation estate assets which shall include the following: — (a) any assets over which the corporate debtor has ownership rights, including all rights and interests therein as evidenced in the balance sheet of the corporate debtor or an information utility or records in the registry or any depository recording securities of the corporate debtor or by any other means as may be specified by the Board, including shares held in any subsidiary of the corporate debtor; (b) assets that may or may not be in possession of the corporate debtor including but not limited to encumbered assets; (c) tangible assets, whether movable or immovable; (d) intangib le assets including but not limited to intellectual property, securities (including shares held in a subsidiary of the corporate debtor) and financial instruments, insurance policies, contractual rights; (e) assets subject to the determination of ownershi p by the court or authority; (f) any assets or their value recovered through proceedings for avoidance of transactions in accordance with this Chapter; (g) any asset of the corporate debtor in respect of which a secured creditor has relinquished security i nterest; (h) any other property belonging to or vested in the corporate debtor at the insolvency commencement date; and (i) all proceeds of liquidation as and when they are realised. (4) The following shall not be included in the liquidation estate assets and shall not be used for recovery in the liquidation: — (a) assets owned by a third party which are in possession of the corporate debtor, including — (i) assets held in trust for any third party; (ii) bailment contracts; (iii) all sums due to any workman o r employee from the provident fund, the pension fund and the gratuity fund; (iv) other contractual arrangements which do not stipulate transfer of title but only use of the assets; and (v) such other assets as may be notified by the Central Government in c onsultation with any financial sector regulator; 47 (b) assets in security collateral held by financial services providers and are subject to netting and set-off in multi -lateral trading or clearing transactions; (c) personal assets of any shareholder or part ner of a corporate debtor as the case may be provided such assets are not held on account of avoidance transactions that may be avoided under this Chapter; (d) assets of any Indian or foreign subsidiary of the corporate debtor; or (e) any other assets as m ay be specified by the Board, including assets which could be subject to set-off on account of mutual dealings between the corporate debtor and any creditor.","liquidation estate","balance sheet",""
"","","","","corporate debtor","financial statements",""
"","","","","liquidator","asset register",""
"","","","","assets","liquidation plan",""
"","","","","fiduciary","information utility records",""
"","","","","creditors","security agreements",""
"","","","","ownership rights","trust deeds",""
"","","","","balance sheet","bailment contracts",""
"","","","","information utility","employment agreements",""
"","","","","registry records","provident fund records",""
"","","","","depository records","pension fund records",""
"","","","","encumbered assets","gratuity fund records",""
"","","","","tangible assets","contracts for use of assets",""
"","","","","intangible assets","regulatory filings",""
"","","","","intellectual property","company policy",""
"","","","","securities","shareholding agreements",""
"","","","","financial instruments","",""
"","","","","insurance policies","",""
"","","","","contractual rights","",""
"","","","","avoidance transactions","",""
"","","","","secured creditor","",""
"","","","","insolvency commencement date","",""
"","","","","proceeds of liquidation","",""
"","","","","third party assets","",""
"","","","","trust assets","",""
"","","","","bailment contracts","",""
"","","","","provident fund","",""
"","","","","pension fund","",""
"","","","","gratuity fund","",""
"","","","","contractual arrangements","",""
"","","","","financial services providers","",""
"","","","","security collateral","",""
"","","","","netting","",""
"","","","","set-off","",""
"","","","","personal assets","",""
"","","","","shareholder","",""
"","","","","partner","",""
"","","","","subsidiary","",""
"The Insolvency And Bankruptcy Code, 2016","37","Powers of liquidator to access information","37. Powers of liquidator to access information .—(1) Notwithstanding anything contained in any other law for the time being in force, the liquidator shall have the power to access any information systems for the purpose of admission and proof of claims and identification of the liquidation estate assets relating to the corporate debtor from the followin g sources, namely: — (a) an information utility; (b) credit information systems regulated under any law for the time being in force; (c) any agency of the Central, State or Local Government including any registration authorities; (d) information systems for financial and non -financia l liabilities regulated under any law for the time being in force; (e) information systems for securities and assets posted as security interest regulated under any law for the time being in force; (f) any database maintained by the Board; and (g) any other source as may be specified by the Board. (2) The creditors may require the liquidator to provide them any financial information relating to the corporate debtor in such manner as may be specified. (3) The liquidator shall provi de information referred to in sub -section ( 2) to such creditors who have requested for such information within a period of seven days from the date of such request or provide reasons for not providing such information.","liquidator","claim forms",""
"","","","","access information","proof of debt forms",""
"","","","","information systems","liquidation reports",""
"","","","","admission of claims","information utility records",""
"","","","","proof of claims","credit reports",""
"","","","","liquidation estate assets","regulatory filings",""
"","","","","corporate debtor","requests for information",""
"","","","","information utility","liquidator's statements",""
"","","","","credit information systems","",""
"","","","","government agencies","",""
"","","","","registration authorities","",""
"","","","","financial liabilities","",""
"","","","","non-financial liabilities","",""
"","","","","securities","",""
"","","","","security interest","",""
"","","","","Board","",""
"","","","","creditors","",""
"","","","","financial information","",""
"","","","","request for information","",""
"","","","","reasons for non-provision","",""
"The Insolvency And Bankruptcy Code, 2016","38","Consolidation of claims","38. Consolidation of claims .—(1) The liquidator shall receive or collect the claims of creditors within a period of thirty days from the date of the commencement of the liquidation process. (2) A financial creditor may submit a claim to the liquidator by providing a record of such claim with an information utility: Provided that where the information relating to the claim is not recorded in the information utility, the financial creditor may submit the claim in the same manner as provided for the submission of claims for the operational credit or under sub -section ( 3). (3) An operational creditor may submit a claim to the liquidator in such form and in such manner and along with such supporting documents required to prove the claim as may be specified by the Board. (4) A creditor who is partly a financial creditor and partly an operational creditor shall submit claims to the liquidator to the extent of his financial debt in the manner as provided in sub -section ( 2) and to the extent of his operational debt under sub -section ( 3). (5) A creditor ma y withdraw or vary his claim under this section within fourteen days of its submission.","liquidator","proof of debt forms",""
"","","","","claims","claim forms (financial creditor)",""
"","","","","creditors","claim forms (operational creditor)",""
"","","","","liquidation process","information utility records",""
"","","","","financial creditor","supporting documents for claims",""
"","","","","information utility","debt acknowledgements",""
"","","","","operational creditor","withdrawal of claim request",""
"","","","","form of claim","variation of claim request",""
"","","","","supporting documents","",""
"","","","","financial debt","",""
"","","","","operational debt","",""
"","","","","withdraw claim","",""
"","","","","vary claim","",""
"","","","","submission of claims","",""
"","","","","thirty days","",""
"The Insolvency And Bankruptcy Code, 2016","39","Verification of claims","48 39. Verification of claims .—(1) The liquidator shall verify the claims submitted under section 38 within such time as specified by the Board. (2) The liquidator may req uire any creditor or the corporate debtor or any other person to produce any other document or evidence which he thinks necessary for the purpose of verifying the whole or any part of the claim.","liquidator","verification reports",""
"","","","","verification of claims","claim forms",""
"","","","","claims submission","supporting documents for claims",""
"","","","","Board","liquidator's correspondence",""
"","","","","creditor","internal verification records",""
"","","","","corporate debtor","",""
"","","","","documents","",""
"","","","","evidence","",""
"","","","","proof of claim","",""
"The Insolvency And Bankruptcy Code, 2016","40","Admission or rejection of claims","40. Admission or rejection of claims .—(1) The liquidator may, after verification of claims under section 39, either admit or reject the claim, in whole or in part, as the case may be: Provided that where the liquidator rejects a claim, he shall record in writing the reasons for such rejection. (2) The liquidator sha ll communicate his decision of admission or rejection of claims to the creditor and corporate debtor within seven days of such admission or rejection of claims.","liquidator","claim admission letter",""
"","","","","admission of claims","claim rejection letter",""
"","","","","rejection of claims","liquidator's decision",""
"","","","","verification of claims","records of reasons for rejection",""
"","","","","reasons for rejection","correspondence with creditors",""
"","","","","communication","",""
"","","","","creditor","",""
"","","","","corporate debtor","",""
"","","","","seven days","",""
"The Insolvency And Bankruptcy Code, 2016","41","Determination of valuation of claims","41. Determination of valuation of claims .—The liquidator shall determine the value of claims admitted under section 40 in such manner as may be specified by the Board.","liquidator","valuation reports",""
"","","","","valuation of claims","liquidator's records of claims value",""
"","","","","admitted claims","financial reports",""
"","","","","Board","",""
"","","","","determination of value","",""
"The Insolvency And Bankruptcy Code, 2016","42","Appeal against the decision of liquidator","42. Appeal against the decision of liquidator. —A creditor may appeal to the Adjudicating Authority against the decision of the liquidator 1[accepting or] rejecting the claims within f ourteen days of the receipt of such decision.","creditor","appeal petition",""
"","","","","appeal","liquidator's decision letter",""
"","","","","Adjudicating Authority","Adjudicating Authority orders",""
"","","","","liquidator's decision","legal notices",""
"","","","","accepting claims","",""
"","","","","rejecting claims","",""
"","","","","fourteen days","",""
"","","","","receipt of decision","",""
"The Insolvency And Bankruptcy Code, 2016","43","Preferential transactions and relevant time","43. Preferential transactions and relevant time .—(1) Where the liquidator or the resolution professional, as the case may be, is of the opinion that the corporate debtor has at a relevant time given a preferenc e in such transactions and in such manner as laid down in sub -section ( 2) to any persons as referred to in sub -section ( 4), he shall apply to the Adjudicating Authority for avoidance of preferential transactions and for, one or more of the orders referred to in section 44. (2) A corporate debtor shall be deemed to have given a preference, if — (a) there is a transfer of property or an interest thereof of the corporate debtor for the benefit of a creditor or a surety or a guarantor for or on account of an ant ecedent financial debt or operational debt or other liabilities owed by the corporate debtor; and (b) the transfer under clause ( a) has the effect of putting such creditor or a surety or a guarantor in a beneficial position than it would have been in the e vent of a distribution of assets being made in accordance with","liquidator","application to Adjudicating Authority",""
"","","","","resolution professional","transaction records",""
"","","","","preferential transactions","financial statements",""
"","","","","relevant time","forensic audit reports",""
"","","","","corporate debtor","legal opinions",""
"","","","","preference","debt agreements",""
"","","","","Adjudicating Authority","guarantee agreements",""
"","","","","avoidance of transactions","",""
"","","","","transfer of property","",""
"","","","","interest","",""
"","","","","creditor","",""
"","","","","surety","",""
"","","","","guarantor","",""
"","","","","antecedent financial debt","",""
"","","","","operational debt","",""
"","","","","liabilities","",""
"","","","","beneficial position","",""
"","","","","distribution of assets","",""
"The Insolvency And Bankruptcy Code, 2016","53(3) and (4)","Preference - Exclusions and Deemed Time","section 53. (3) For the purposes of sub -section ( 2), a preference shall not include the following transfers — 
(a) transfer made in the ordinary course of the business or financial affairs of the  corporate debtor 
or the transferee;  
(b) any transfer creating a security interest in property acquired by the corporate debtor to the 
extent that — 
(i) such security interest secures new value and was given at the time of or after the signing of 
a security  agreement that contains a description of such property as security interest and was used 
by corporate debtor to acquire such property; and  
(ii) such transfer was registered with an information utility on or before thirty days after the 
corporate debtor re ceives possession of such property:  
                                                      
1. Ins. by Act 26 of 2018, s. 27 (w.e.f. 6-6-2018) . 

49 Provided that  any transfer made in pursuance of the order of a court shall not, preclude such transfer 
to be deemed as giving of preference by the corporate debtor.  
Explanation .—For the purpose of sub -section ( 3) of this  section, “new value ” means money or its 
worth in goods, services, or new credit, or release by the transferee of property previously transferred to 
such transferee in a transaction that is neither void nor voidable by the liquidator or the resolution 
professional under this Code, including proceeds of such property, but does not include a financial debt or 
operational debt substituted for existing financial debt or operational debt.  
(4) A preference shall be deemed to be given at a relevant time, if — 
(a) it is given to a related party (other than by reason only of being an employee), during the 
period of two years preceding the insolvency commencement date; or  
(b) a preference is given to a person other than a related party during the period of one year 
preceding the insolvency commencement date.","preferential transaction","insolvency resolution plan",""
"","","","","corporate debtor","liquidation plan",""
"","","","","security interest","security agreement",""
"","","","","new value","financial statements",""
"","","","","insolvency commencement date","application to NCLT",""
"","","","","related party","",""
"","","","","liquidator","",""
"","","","","resolution professional","",""
"","","","","transfer","",""
"","","","","ordinary course of business","",""
"The Insolvency And Bankruptcy Code, 2016","44","Orders in case of preferential transactions","44. Orders in case of preferential transactions .—The Adjudicating Authority, may, on an 
application made by the resolution professional or liquidator under sub -section ( 1) of sectio n 43, by an 
order : 
(a) require any  property transferred in connection with the giving of the preference to be vested in 
the corporate debtor;  
(b) require any property to be so vested if it represents the application either of the proceeds of 
sale of property so transferred or of money so t ransferred;  
(c) release or discharge (in whole or in part) of any security interest created by the corporate 
debtor;  
(d) require any person to pay such sums in respect of benefits received by him Adjudicating 
Authority may direct;  
(e) direct any guarantor , whose financial debts or operational debts owed to any person were 
released or discharged (in whole or in part) by the giving of the preference, to be under such new or 
revived financial debts or operational debts to that person as the Adjudicating Autho rity deems 
appropriate;  
(f) direct for providing security or charge on any property for the discharge of any financial debt 
or operational debt under the order, and such security or charge to have the same priority as a security 
or charge released or disch arged wholly or in part by the giving of the preference; and  
(g) direct for providing the extent to which any person whose property is so vested in the 
corporate debtor, or on whom financial debts or operational debts are imposed by the order, are to be 
proved in the liquidation or the corporate insolvency resolution process for financial debts or 
operational debts which arose from, or were released or discharged wholly or in part by the giving of 
the preference:  
Provided that an order under this section sh all not — 
(a) affect any interest in property which was acquired from a person other than the corporate 
debtor or any interest derived from such interest and was acquired in good faith and for value;  
(b) require a person, who received a benefit from the pre ferential transaction in good faith and for 
value to pay a sum to the liquidator or the resolution professional.  
Explanation  I.—For the purpose of this section, it is clarified that where a person,  who has acquired 
an interest in property from another pers on other than the corporate debtor, or who has received a benefit 
from the preference or such another person to whom the corporate debtor gave the preference, — 

50 (i) had sufficient  information of the initiation or commencement of insolvency resolution proces s 
of the corporate debtor;  
(ii) is a related party,  
it shall be presumed that the interest was acquired or the benefit was received otherwise than in good faith 
unless the contrary is shown.  
Explanation  II.—A person shall be deemed to have sufficient infor mation or opportunity to avail such 
information if a public announcement regarding the corporate insolvency resolution process has been 
made under section 13.","preferential transaction","application to NCLT",""
"","","","","Adjudicating Authority","NCLT order",""
"","","","","resolution professional","insolvency resolution plan",""
"","","","","liquidator","liquidation plan",""
"","","","","corporate debtor","security agreement",""
"","","","","vesting of property","public announcement",""
"","","","","security interest","",""
"","","","","guarantor","",""
"","","","","financial debt","",""
"","","","","operational debt","",""
"","","","","insolvency resolution process","",""
"","","","","liquidation","",""
"","","","","related party","",""
"","","","","good faith","",""
"","","","","public announcement","",""
